Nivel_educacao,Avaliacao_desempenho,Experiencia_cargos_lideranca,Habilidades_competencias,Treinamento_lideranca,Feedback_supervisores,Satisfacao_trabalho,Coach,Empodera,Sucesso_membros,Orientado_resultados,Comunicador,Desenvolvimento_carreira,Estrategia_equipe,Habilidades_tecnicas,Idade_18-29,Idade_30-39,Idade_40-49,Idade_50-59,Idade_60-69,Idade_70-79,Idade_80-89,Indice_lideranca,Indice_competencias,Engajamento_desenvolvimento
0.25,0.0,0.0,0.0,1.0,0.4942677538211043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4982772310897866,0.0,0.2130568531228355
0.25,0.8,1.0,0.0,1.0,0.6960694083206292,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8992575290040762,0.2666666666666666,0.8140500805389647
0.25,0.2,0.0,0.5,1.0,0.4423264644131165,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809562585150232,0.4,0.3486687394292982
0.5,0.0,0.0,0.5,1.0,0.9520829790973718,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509458508275908,0.3333333333333333,0.2784994228989506
0.75,0.4,0.0,0.6000000000000001,1.0,0.4654787962601105,0.502316684378321,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4886769160022425,0.5333333333333333,0.4950149117039804
0.0,0.2,0.0,0.1,0.0,0.5286121815415621,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1760450709362261,0.1333333333333333,0.2179662302763814
0.25,0.8,0.0,0.0,1.0,0.0812334652002043,0.502316684378321,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3605418058205923,0.2666666666666666,0.7261621251214897
0.25,0.4,0.0,0.1,0.0,0.2441387179139353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0811810982104296,0.2,0.320338717374621
0.5,1.0,0.0,0.8,0.0,0.9127396191756312,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041408669456841,0.8666666666666667,0.8450220854209068
1.0,0.8,1.0,0.6000000000000001,1.0,0.1905892537071317,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7306939836062011,0.6666666666666666,0.7417940294896069
0.25,0.6000000000000001,0.0,0.9,0.0,0.2504889129480417,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.083298711294044,0.8,0.4642831018754221
0.25,0.0,1.0,0.1,0.0,0.9057876319262408,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6355076426539025,0.0666666666666666,0.1288450635838185
0.25,0.6000000000000001,0.0,0.4950680272108843,1.0,0.0862934945022716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622291845854933,0.5300453514739228,0.5838487794351593
0.25,0.0,0.0,0.9,0.0,0.7824356834965476,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2606881355636626,0.6,0.1112124728650223
0.75,0.4,0.0,0.7000000000000001,0.0,0.56641771351704,0.6000000000000001,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1886521623270088,0.6,0.36640700976137
0.0,0.6000000000000001,1.0,0.0,0.0,0.598633301345908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5330802328448659,0.2,0.5140487325753219
0.5,0.4,0.0,0.2,1.0,0.8877427942637928,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6294901921471915,0.2666666666666666,0.5553755979101274
0.5,0.4,0.0,0.6000000000000001,1.0,0.6002522830844493,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5336201181386647,0.5333333333333333,0.514280158529596
0.25,0.6000000000000001,0.0,0.2,1.0,0.2653329145745609,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.421933841905701,0.3333333333333333,0.6094416367580792
0.5,0.2,1.0,0.9,1.0,0.145830475824711,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157681784708726,0.6666666666666666,0.3062860086893453
0.5,0.2,1.0,0.7000000000000001,0.0,0.8764340430674497,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6257190387630679,0.5333333333333333,0.2676857572511129
0.0,0.6000000000000001,0.0,0.5,0.0,0.0468362282921643,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0153862161306315,0.5333333333333333,0.4351718921780098
1.0,0.2,0.0,1.0,1.0,0.7935106221450166,0.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980663887042471,0.7333333333333333,0.3988688911013344
0.25,0.4,0.0,0.5,0.0,0.5678507789318534,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1891300497077561,0.4666666666666667,0.3666118598367384
0.25,0.8,0.0,0.6000000000000001,0.0,0.452463101800631,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1506514748815372,0.6666666666666666,0.636191031838528
0.5,1.0,0.0,0.7000000000000001,1.0,0.2178982093250445,0.8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4061156895632508,0.8,0.8887343719144787
0.25,0.4,0.0,0.9,1.0,0.0641983633297089,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3548610740622896,0.7333333333333333,0.4376537291089927
0.5,1.0,0.0,0.4,0.0,0.4349338181781352,0.502316684378321,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1448059472802567,0.6,0.7767219552704907
0.5,0.8,1.0,0.4,0.0,0.2235921505467913,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4080144602882035,0.5333333333333333,0.6034749875258538
0.0,0.6000000000000001,0.0,0.1,0.0,0.3015436518041023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003240439651566,0.2666666666666666,0.4715811407468311
0.5,0.4,0.0,0.5,1.0,0.9090280593228908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6365882348900139,0.4666666666666667,0.5584182281393701
0.25,0.6000000000000001,1.0,0.0,1.0,0.497604637127983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8330750584095773,0.2,0.642643805604797
0.25,0.4,0.0,0.5,0.0,0.661399945619886,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2203260898727927,0.4666666666666667,0.3799842806966708
0.25,0.2,1.0,0.1,1.0,0.9926101807986965,0.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9981456129529864,0.1333333333333333,0.4273292524877966
0.5,0.2,0.0,1.0,1.0,0.6252278241871186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5419487651054589,0.7333333333333333,0.3748136431771661
0.25,0.0,0.0,0.0,0.0,0.8851266343410952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2949327059916974,0.0,0.1258916695037197
0.25,0.2,0.0,0.7000000000000001,0.0,0.031314465703521,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0102101408507496,0.5333333333333333,0.1468798210190337
0.25,0.6000000000000001,0.0,1.0,1.0,0.0936466486288633,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3646812565770892,0.8666666666666667,0.5848998788207546
0.5,0.0,1.0,0.3,1.0,0.1491236407855964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7168663572150239,0.2,0.1637200979144184
1.0,0.4,1.0,0.2,0.0,0.4288857175618939,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4764741439921103,0.2666666666666666,0.3467474468092823
0.5,0.6000000000000001,1.0,0.6000000000000001,1.0,0.1446114241704109,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.715361658715356,0.6,0.5921850578522931
1.0,1.0,0.0,0.4,0.0,0.2327137700680957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0773711964817395,0.6,0.7478155343436099
0.25,0.2,0.0,1.0,0.0,0.7962118838925799,0.4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2652821144957186,0.7333333333333333,0.2562183704986868
1.0,0.8,0.0,0.4,0.0,0.4794369229058444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1596464925433076,0.5333333333333333,0.6400468148539162
0.25,1.0,0.0,0.0,0.0,0.5479176353517361,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1824829017987376,0.3333333333333333,0.7928724695625686
0.25,0.2,0.0,0.3,1.0,0.5892037062612049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5299357256577156,0.2666666666666666,0.369664162074682
0.25,1.0,0.0,0.6000000000000001,0.0,0.6641696008306867,0.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2212496927038855,0.7333333333333333,0.8094901505448379
0.25,0.6000000000000001,1.0,0.8,0.0,0.945087198314976,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486129528873963,0.7333333333333333,0.5635727153413458
0.25,0.6000000000000001,1.0,0.3,1.0,0.3990609961360753,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8002135002447225,0.4,0.6285574477347332
0.25,0.6000000000000001,0.0,0.7000000000000001,1.0,0.8577019202519937,0.6000000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6194723978103364,0.6666666666666666,0.6941180473424147
0.0,0.0,0.0,0.1,0.0,0.9481233527801272,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3159403560677611,0.0666666666666666,0.1348967591435953
